SPID,GeoID,PID,SaleDate,Amount,Customers,Boxes
SP09,G3,P01,07-01-2022 00:00,3248,18,192
SP03,G3,P01,15-03-2022 00:00,1127,100,71
SP01,G3,P01,10-01-2022 00:00,7567,19,446
SP04,G3,P01,28-02-2022 00:00,917,19,54
SP11,G3,P01,23-03-2022 00:00,13503,319,901
SP23,G3,P01,30-03-2022 00:00,1120,175,70
SP20,G3,P01,23-03-2022 00:00,637,37,40
SP02,G3,P14,01-01-2021 00:00,532,317,54
SP22,G3,P05,01-01-2021 00:00,4599,106,256
SP19,G3,P10,01-01-2021 00:00,2387,134,89
SP23,G3,P02,04-01-2021 00:00,3920,16,262
SP19,G3,P19,04-01-2021 00:00,7539,502,943
SP19,G3,P21,07-01-2021 00:00,5733,193,338
SP05,G3,P02,07-01-2021 00:00,10451,155,1307
SP08,G3,P10,08-01-2021 00:00,12726,179,579
SP01,G3,P19,12-01-2021 00:00,490,188,35
SP02,G3,P15,12-01-2021 00:00,2653,147,332
SP10,G3,P02,13-01-2021 00:00,6307,123,789
SP21,G3,P08,13-01-2021 00:00,4340,168,217
SP18,G3,P20,14-01-2021 00:00,6580,210,347
SP21,G3,P20,14-01-2021 00:00,9310,62,582
SP09,G3,P04,15-01-2021 00:00,3094,317,148
SP11,G3,P16,19-01-2021 00:00,896,346,32
SP20,G3,P09,19-01-2021 00:00,2121,90,177
SP05,G3,P10,19-01-2021 00:00,12075,264,432
SP10,G3,P06,20-01-2021 00:00,343,338,18
SP14,G3,P20,21-01-2021 00:00,5537,346,426
SP23,G3,P13,21-01-2021 00:00,4200,457,248
SP08,G3,P20,22-01-2021 00:00,5971,44,460
SP16,G3,P15,22-01-2021 00:00,2226,1,248
SP10,G3,P17,22-01-2021 00:00,2366,470,79
SP03,G3,P16,22-01-2021 00:00,13230,261,576
SP23,G3,P21,22-01-2021 00:00,4613,54,210
SP23,G3,P08,25-01-2021 00:00,12964,242,541
SP09,G3,P20,25-01-2021 00:00,5775,219,361
SP18,G3,P19,25-01-2021 00:00,1603,81,134
SP12,G3,P21,25-01-2021 00:00,1659,82,83
SP10,G3,P09,25-01-2021 00:00,4914,46,615
SP13,G3,P16,26-01-2021 00:00,2296,113,96
SP04,G3,P22,27-01-2021 00:00,6965,91,367
SP21,G3,P09,27-01-2021 00:00,2219,145,247
SP02,G3,P05,27-01-2021 00:00,3241,199,163
SP15,G3,P07,27-01-2021 00:00,3605,120,151
SP20,G3,P08,28-01-2021 00:00,3640,169,174
SP11,G3,P08,28-01-2021 00:00,1309,294,77
SP15,G3,P04,28-01-2021 00:00,1071,359,54
SP07,G3,P11,28-01-2021 00:00,1820,143,68
SP01,G3,P07,28-01-2021 00:00,2968,259,110
SP06,G3,P09,29-01-2021 00:00,9436,7,858
SP07,G3,P12,29-01-2021 00:00,1267,104,116
SP19,G3,P02,29-01-2021 00:00,140,91,10
SP03,G3,P19,01-02-2021 00:00,441,7,45
SP12,G3,P13,01-02-2021 00:00,10220,105,538
SP17,G3,P15,02-02-2021 00:00,11578,76,891
SP17,G3,P14,03-02-2021 00:00,2835,20,189
SP13,G3,P03,04-02-2021 00:00,392,89,18
SP16,G3,P07,04-02-2021 00:00,7959,273,266
SP15,G3,P08,04-02-2021 00:00,10521,231,527
SP15,G3,P12,04-02-2021 00:00,56,168,5
SP23,G3,P06,04-02-2021 00:00,2646,70,166
SP11,G3,P22,04-02-2021 00:00,2541,14,111
SP19,G3,P16,05-02-2021 00:00,12852,296,429
SP18,G3,P06,05-02-2021 00:00,7546,365,581
SP18,G3,P16,08-02-2021 00:00,12698,53,471
SP12,G3,P15,08-02-2021 00:00,4851,120,324
SP12,G3,P09,08-02-2021 00:00,2366,8,198
SP02,G3,P10,08-02-2021 00:00,5481,283,275
SP25,G3,P08,09-02-2021 00:00,8680,334,457
SP17,G3,P21,09-02-2021 00:00,16919,199,996
SP01,G3,P17,10-02-2021 00:00,1750,9,63
SP15,G3,P15,10-02-2021 00:00,4165,170,417
SP09,G3,P15,10-02-2021 00:00,2282,238,143
SP17,G3,P12,10-02-2021 00:00,5250,37,292
SP06,G3,P03,10-02-2021 00:00,11676,253,730
SP22,G3,P18,11-02-2021 00:00,4634,100,155
SP13,G3,P18,11-02-2021 00:00,1463,158,59
SP15,G3,P18,11-02-2021 00:00,1050,10,32
SP24,G3,P22,12-02-2021 00:00,3990,50,200
SP20,G3,P14,12-02-2021 00:00,1295,107,87
SP15,G3,P17,12-02-2021 00:00,7112,55,246
SP07,G3,P10,15-02-2021 00:00,1204,5,61
SP14,G3,P05,15-02-2021 00:00,3052,393,146
SP04,G3,P14,15-02-2021 00:00,6993,133,538
SP02,G3,P06,17-02-2021 00:00,3227,126,216
SP16,G3,P09,17-02-2021 00:00,7994,177,1000
SP13,G3,P21,17-02-2021 00:00,6363,87,455
SP21,G3,P14,18-02-2021 00:00,770,137,52
SP25,G3,P02,18-02-2021 00:00,8631,399,1079
SP02,G3,P18,18-02-2021 00:00,5453,260,166
SP10,G3,P15,19-02-2021 00:00,1533,115,110
SP13,G3,P10,19-02-2021 00:00,2429,4,111
SP08,G3,P13,22-02-2021 00:00,10927,202,476
SP14,G3,P14,22-02-2021 00:00,329,257,26
SP12,G3,P03,22-02-2021 00:00,1827,48,102
SP09,G3,P05,22-02-2021 00:00,13209,204,881
SP22,G3,P02,22-02-2021 00:00,1015,66,64
SP14,G3,P02,23-02-2021 00:00,16247,215,2031
SP21,G3,P15,23-02-2021 00:00,2422,41,303
SP10,G3,P22,23-02-2021 00:00,3997,333,174
SP05,G3,P17,23-02-2021 00:00,168,3,6
SP04,G3,P06,23-02-2021 00:00,11851,58,741
SP03,G3,P22,23-02-2021 00:00,12404,186,478
SP24,G3,P10,24-02-2021 00:00,8351,36,398
SP17,G3,P10,24-02-2021 00:00,2681,115,117
SP23,G3,P22,25-02-2021 00:00,2436,130,122
SP11,G3,P17,25-02-2021 00:00,896,346,41
SP04,G3,P05,25-02-2021 00:00,10920,278,683
SP24,G3,P13,25-02-2021 00:00,6797,72,309
SP16,G3,P20,25-02-2021 00:00,1673,99,105
SP09,G3,P03,25-02-2021 00:00,6356,38,374
SP11,G3,P21,26-02-2021 00:00,406,22,29
SP16,G3,P13,26-02-2021 00:00,413,414,22
SP14,G3,P16,01-03-2021 00:00,4858,138,157
SP09,G3,P08,01-03-2021 00:00,7259,69,404
SP14,G3,P03,02-03-2021 00:00,5376,48,256
SP03,G3,P07,03-03-2021 00:00,3829,434,142
SP04,G3,P09,05-03-2021 00:00,6258,277,626
SP20,G3,P18,05-03-2021 00:00,10752,111,347
SP05,G3,P21,08-03-2021 00:00,7301,116,366
SP02,G3,P03,08-03-2021 00:00,1246,157,70
SP18,G3,P09,08-03-2021 00:00,1085,181,181
SP13,G3,P04,08-03-2021 00:00,5383,117,300
SP06,G3,P12,08-03-2021 00:00,1351,232,123
SP13,G3,P12,08-03-2021 00:00,1540,27,154
SP17,G3,P04,08-03-2021 00:00,8120,224,370
SP07,G3,P17,08-03-2021 00:00,12075,265,549
SP06,G3,P18,08-03-2021 00:00,2730,120,95
SP13,G3,P20,09-03-2021 00:00,6405,40,338
SP03,G3,P06,11-03-2021 00:00,10171,69,536
SP04,G3,P15,11-03-2021 00:00,8253,13,551
SP19,G3,P08,11-03-2021 00:00,5936,199,350
SP10,G3,P05,15-03-2021 00:00,7042,173,470
SP24,G3,P05,15-03-2021 00:00,371,191,20
SP18,G3,P11,16-03-2021 00:00,8981,152,360
SP01,G3,P09,16-03-2021 00:00,7623,88,587
SP01,G3,P12,16-03-2021 00:00,7623,152,636
SP01,G3,P10,17-03-2021 00:00,6573,185,313
SP16,G3,P16,17-03-2021 00:00,4263,464,158
SP11,G3,P13,17-03-2021 00:00,15239,156,953
SP16,G3,P18,17-03-2021 00:00,1302,298,51
SP19,G3,P22,17-03-2021 00:00,2576,67,129
SP02,G3,P22,18-03-2021 00:00,1645,97,75
SP25,G3,P19,18-03-2021 00:00,12740,72,980
SP12,G3,P20,18-03-2021 00:00,6755,504,483
SP14,G3,P08,18-03-2021 00:00,13104,77,624
SP07,G3,P18,18-03-2021 00:00,10241,74,366
SP15,G3,P20,19-03-2021 00:00,4116,89,217
SP09,G3,P10,19-03-2021 00:00,1302,24,55
SP03,G3,P10,19-03-2021 00:00,4606,186,210
SP19,G3,P17,22-03-2021 00:00,13832,187,577
SP06,G3,P08,22-03-2021 00:00,6230,68,271
SP08,G3,P05,23-03-2021 00:00,3143,298,158
SP22,G3,P16,23-03-2021 00:00,8631,83,376
SP06,G3,P21,23-03-2021 00:00,4886,343,288
SP01,G3,P02,24-03-2021 00:00,2709,203,301
SP11,G3,P15,25-03-2021 00:00,7245,185,725
SP09,G3,P07,25-03-2021 00:00,3220,209,115
SP06,G3,P11,26-03-2021 00:00,9261,143,343
SP03,G3,P17,26-03-2021 00:00,4004,16,149
SP02,G3,P20,29-03-2021 00:00,5271,330,377
SP01,G3,P15,30-03-2021 00:00,4403,25,315
SP14,G3,P13,30-03-2021 00:00,1358,63,68
SP10,G3,P11,31-03-2021 00:00,7630,236,306
SP15,G3,P11,02-04-2021 00:00,2100,242,70
SP09,G3,P19,05-04-2021 00:00,4473,302,320
SP19,G3,P06,07-04-2021 00:00,8176,183,390
SP14,G3,P06,07-04-2021 00:00,5313,275,380
SP19,G3,P04,07-04-2021 00:00,1841,223,97
SP09,G3,P18,07-04-2021 00:00,11207,254,362
SP05,G3,P22,09-04-2021 00:00,154,48,7
SP12,G3,P18,12-04-2021 00:00,763,47,28
SP16,G3,P02,12-04-2021 00:00,1295,218,108
SP19,G3,P15,12-04-2021 00:00,6657,364,606
SP16,G3,P05,12-04-2021 00:00,1533,129,110
SP12,G3,P02,13-04-2021 00:00,5397,37,416
SP20,G3,P07,13-04-2021 00:00,2996,136,116
SP01,G3,P14,13-04-2021 00:00,868,90,87
SP16,G3,P03,13-04-2021 00:00,10150,223,598
SP13,G3,P06,15-04-2021 00:00,12460,197,623
SP25,G3,P14,15-04-2021 00:00,9597,167,873
SP15,G3,P16,16-04-2021 00:00,2030,162,89
SP09,G3,P06,16-04-2021 00:00,9352,293,446
SP01,G3,P13,16-04-2021 00:00,966,163,57
SP24,G3,P06,16-04-2021 00:00,1155,91,83
SP08,G3,P12,16-04-2021 00:00,4676,25,293
SP22,G3,P07,20-04-2021 00:00,10605,169,442
SP08,G3,P18,20-04-2021 00:00,2611,175,105
SP20,G3,P15,21-04-2021 00:00,5516,269,613
SP23,G3,P18,22-04-2021 00:00,4214,155,128
SP04,G3,P19,22-04-2021 00:00,4473,179,373
SP18,G3,P08,22-04-2021 00:00,10297,48,430
SP07,G3,P09,22-04-2021 00:00,15295,160,1700
SP20,G3,P03,23-04-2021 00:00,12236,61,816
SP03,G3,P14,26-04-2021 00:00,7658,233,851
SP21,G3,P16,26-04-2021 00:00,7238,19,250
SP09,G3,P22,27-04-2021 00:00,6538,182,273
SP09,G3,P13,27-04-2021 00:00,9597,129,600
SP12,G3,P14,28-04-2021 00:00,11564,28,1285
SP25,G3,P05,29-04-2021 00:00,1981,235,105
SP25,G3,P09,29-04-2021 00:00,4816,64,402
SP21,G3,P02,30-04-2021 00:00,6524,275,502
SP09,G3,P14,30-04-2021 00:00,8218,114,822
SP12,G3,P04,03-05-2021 00:00,3955,2,264
SP03,G3,P15,03-05-2021 00:00,147,84,14
SP07,G3,P06,03-05-2021 00:00,532,78,26
SP03,G3,P20,04-05-2021 00:00,8799,126,518
SP02,G3,P11,04-05-2021 00:00,13650,235,427
SP02,G3,P19,04-05-2021 00:00,5131,196,514
SP05,G3,P12,07-05-2021 00:00,637,37,49
SP05,G3,P04,07-05-2021 00:00,4970,295,332
SP25,G3,P11,07-05-2021 00:00,6874,438,265
SP15,G3,P22,10-05-2021 00:00,7378,121,352
SP15,G3,P03,10-05-2021 00:00,2807,172,156
SP21,G3,P05,10-05-2021 00:00,16065,98,1236
SP11,G3,P03,10-05-2021 00:00,3682,288,168
SP21,G3,P12,11-05-2021 00:00,4053,57,226
SP05,G3,P20,12-05-2021 00:00,420,203,33
SP14,G3,P15,13-05-2021 00:00,784,287,56
SP19,G3,P14,14-05-2021 00:00,2597,81,200
SP14,G3,P22,14-05-2021 00:00,217,139,10
SP25,G3,P04,17-05-2021 00:00,3094,195,172
SP22,G3,P09,17-05-2021 00:00,3101,249,259
SP03,G3,P11,17-05-2021 00:00,8428,162,291
SP25,G3,P12,18-05-2021 00:00,2324,230,146
SP05,G3,P13,18-05-2021 00:00,1659,89,104
SP01,G3,P16,18-05-2021 00:00,11018,69,441
SP10,G3,P03,19-05-2021 00:00,8995,238,450
SP20,G3,P13,19-05-2021 00:00,1666,12,98
SP08,G3,P15,19-05-2021 00:00,595,43,55
SP16,G3,P14,19-05-2021 00:00,6860,132,490
SP06,G3,P16,19-05-2021 00:00,4557,9,176
SP02,G3,P12,21-05-2021 00:00,812,20,51
SP01,G3,P06,24-05-2021 00:00,1351,58,72
SP06,G3,P05,24-05-2021 00:00,1295,112,81
SP20,G3,P12,24-05-2021 00:00,3262,487,297
SP12,G3,P12,25-05-2021 00:00,7966,123,725
SP23,G3,P04,25-05-2021 00:00,5817,396,277
SP17,G3,P02,25-05-2021 00:00,2527,30,158
SP02,G3,P16,25-05-2021 00:00,126,242,6
SP12,G3,P05,25-05-2021 00:00,11522,235,721
SP19,G3,P20,26-05-2021 00:00,8498,182,532
SP18,G3,P22,26-05-2021 00:00,1113,33,53
SP05,G3,P18,28-05-2021 00:00,441,171,16
SP24,G3,P16,28-05-2021 00:00,6650,22,266
SP08,G3,P21,28-05-2021 00:00,2870,290,152
SP17,G3,P17,31-05-2021 00:00,9310,351,333
SP06,G3,P06,31-05-2021 00:00,4879,50,244
SP01,G3,P05,31-05-2021 00:00,6930,254,330
SP11,G3,P11,31-05-2021 00:00,12684,297,453
SP07,G3,P03,01-06-2021 00:00,11886,415,566
SP05,G3,P03,02-06-2021 00:00,5481,142,289
SP21,G3,P19,02-06-2021 00:00,14868,291,1062
SP14,G3,P11,03-06-2021 00:00,2583,353,93
SP17,G3,P19,04-06-2021 00:00,2548,170,182
SP06,G3,P17,04-06-2021 00:00,8603,47,297
SP19,G3,P18,04-06-2021 00:00,6454,25,259
SP20,G3,P05,07-06-2021 00:00,2674,333,149
SP03,G3,P08,09-06-2021 00:00,7525,60,397
SP18,G3,P13,11-06-2021 00:00,5887,51,310
SP04,G3,P21,14-06-2021 00:00,1057,226,76
SP08,G3,P14,14-06-2021 00:00,13286,55,1477
SP19,G3,P07,14-06-2021 00:00,840,2,35
SP11,G3,P19,16-06-2021 00:00,9191,240,766
SP24,G3,P21,16-06-2021 00:00,14889,132,828
SP24,G3,P09,16-06-2021 00:00,693,3,58
SP23,G3,P17,16-06-2021 00:00,12642,19,575
SP14,G3,P09,16-06-2021 00:00,15162,2,1896
SP20,G3,P02,17-06-2021 00:00,8792,378,677
SP06,G3,P19,17-06-2021 00:00,1505,33,116
SP01,G3,P08,18-06-2021 00:00,5376,69,336
SP17,G3,P22,18-06-2021 00:00,2884,101,138
SP25,G3,P06,22-06-2021 00:00,5145,325,396
SP15,G3,P19,23-06-2021 00:00,6853,147,762
SP21,G3,P13,24-06-2021 00:00,14420,163,721
SP16,G3,P10,24-06-2021 00:00,3220,12,135
SP04,G3,P20,25-06-2021 00:00,4452,309,212
SP01,G3,P18,25-06-2021 00:00,9737,212,296
SP13,G3,P13,25-06-2021 00:00,6461,178,404
SP19,G3,P05,28-06-2021 00:00,1925,256,92
SP17,G3,P05,29-06-2021 00:00,4403,66,339
SP21,G3,P22,29-06-2021 00:00,2478,396,108
SP06,G3,P20,30-06-2021 00:00,4984,543,333
SP09,G3,P21,01-07-2021 00:00,7476,152,534
SP15,G3,P02,02-07-2021 00:00,84,204,9
SP06,G3,P02,02-07-2021 00:00,8659,245,963
SP03,G3,P21,05-07-2021 00:00,7308,34,366
SP02,G3,P21,06-07-2021 00:00,7721,264,368
SP24,G3,P04,06-07-2021 00:00,11410,15,571
SP08,G3,P02,07-07-2021 00:00,2191,4,200
SP24,G3,P02,07-07-2021 00:00,19754,175,1976
SP14,G3,P07,07-07-2021 00:00,1547,286,65
SP24,G3,P19,07-07-2021 00:00,10689,151,713
SP09,G3,P09,07-07-2021 00:00,3073,94,513
SP24,G3,P17,08-07-2021 00:00,2800,230,108
SP20,G3,P16,08-07-2021 00:00,10108,107,349
SP18,G3,P21,08-07-2021 00:00,2667,96,167
SP13,G3,P09,08-07-2021 00:00,6454,180,718
SP09,G3,P12,08-07-2021 00:00,1757,125,118
SP22,G3,P06,09-07-2021 00:00,4536,139,239
SP23,G3,P16,13-07-2021 00:00,693,248,23
SP10,G3,P14,13-07-2021 00:00,1288,228,86
SP15,G3,P13,13-07-2021 00:00,6167,322,257
SP16,G3,P11,15-07-2021 00:00,4907,212,205
SP22,G3,P17,15-07-2021 00:00,13405,229,463
SP13,G3,P14,15-07-2021 00:00,7378,104,462
SP21,G3,P11,15-07-2021 00:00,945,59,30
SP02,G3,P02,15-07-2021 00:00,8484,201,606
SP18,G3,P05,16-07-2021 00:00,4130,64,207
SP12,G3,P16,16-07-2021 00:00,4214,116,141
SP06,G3,P07,19-07-2021 00:00,833,105,34
SP21,G3,P18,19-07-2021 00:00,4165,20,155
SP06,G3,P15,19-07-2021 00:00,12943,9,925
SP07,G3,P16,20-07-2021 00:00,11473,290,499
SP05,G3,P06,21-07-2021 00:00,9541,54,637
SP22,G3,P20,23-07-2021 00:00,4326,221,228
SP01,G3,P03,26-07-2021 00:00,2240,198,118
SP01,G3,P22,26-07-2021 00:00,6643,352,266
SP14,G3,P21,26-07-2021 00:00,6713,286,373
SP11,G3,P10,26-07-2021 00:00,3108,169,116
SP10,G3,P21,26-07-2021 00:00,11116,118,530
SP24,G3,P08,27-07-2021 00:00,5369,264,256
SP07,G3,P21,27-07-2021 00:00,8540,390,407
SP10,G3,P07,28-07-2021 00:00,6916,309,277
SP04,G3,P03,29-07-2021 00:00,10878,57,473
SP16,G3,P08,29-07-2021 00:00,1981,325,95
SP24,G3,P07,29-07-2021 00:00,8757,229,351
SP04,G3,P18,30-07-2021 00:00,896,140,34
SP15,G3,P21,30-07-2021 00:00,10045,145,670
SP20,G3,P06,30-07-2021 00:00,8708,115,581
SP23,G3,P12,30-07-2021 00:00,10969,391,646
SP19,G3,P13,03-08-2021 00:00,5957,71,249
SP10,G3,P18,03-08-2021 00:00,7910,70,256
SP02,G3,P09,04-08-2021 00:00,12404,68,955
SP11,G3,P14,05-08-2021 00:00,8554,56,713
SP17,G3,P13,06-08-2021 00:00,42,80,2
SP07,G3,P02,09-08-2021 00:00,11193,39,700
SP02,G3,P13,09-08-2021 00:00,4375,280,274
SP08,G3,P03,09-08-2021 00:00,2947,438,174
SP17,G3,P09,10-08-2021 00:00,8596,282,1433
SP04,G3,P10,10-08-2021 00:00,6657,104,267
SP02,G3,P08,10-08-2021 00:00,16940,164,706
SP25,G3,P07,11-08-2021 00:00,3647,239,131
SP05,G3,P16,11-08-2021 00:00,5670,20,237
SP12,G3,P17,11-08-2021 00:00,3010,149,131
SP22,G3,P03,11-08-2021 00:00,2492,91,139
SP23,G3,P11,11-08-2021 00:00,8904,372,308
SP05,G3,P07,11-08-2021 00:00,1701,500,59
SP16,G3,P21,12-08-2021 00:00,14399,141,800
SP12,G3,P10,13-08-2021 00:00,2828,49,114
SP24,G3,P12,13-08-2021 00:00,5719,57,477
SP12,G3,P07,18-08-2021 00:00,609,398,24
SP22,G3,P04,18-08-2021 00:00,546,145,26
SP18,G3,P15,18-08-2021 00:00,6083,124,676
SP18,G3,P10,19-08-2021 00:00,9506,39,476
SP08,G3,P08,19-08-2021 00:00,6468,323,270
SP04,G3,P12,19-08-2021 00:00,7721,56,483
SP23,G3,P05,20-08-2021 00:00,1099,123,74
SP09,G3,P11,20-08-2021 00:00,805,69,26
SP08,G3,P07,20-08-2021 00:00,12558,133,503
SP08,G3,P11,20-08-2021 00:00,5320,98,190
SP04,G3,P16,27-08-2021 00:00,8638,318,376
SP15,G3,P05,30-08-2021 00:00,4403,288,294
SP16,G3,P17,31-08-2021 00:00,6174,130,229
SP04,G3,P11,31-08-2021 00:00,2709,102,105
SP20,G3,P11,31-08-2021 00:00,5215,245,174
SP21,G3,P10,31-08-2021 00:00,2100,352,105
SP21,G3,P04,02-09-2021 00:00,2212,302,101
SP05,G3,P15,02-09-2021 00:00,1701,398,171
SP05,G3,P14,03-09-2021 00:00,9940,311,663
SP09,G3,P16,06-09-2021 00:00,12999,134,500
SP20,G3,P22,07-09-2021 00:00,3577,30,144
SP02,G3,P07,08-09-2021 00:00,4347,73,189
SP10,G3,P16,08-09-2021 00:00,2289,105,74
SP23,G3,P07,10-09-2021 00:00,15015,360,653
SP22,G3,P21,10-09-2021 00:00,2709,414,129
SP19,G3,P03,10-09-2021 00:00,1540,108,74
SP07,G3,P22,10-09-2021 00:00,231,184,12
SP06,G3,P13,10-09-2021 00:00,2079,164,123
SP22,G3,P12,13-09-2021 00:00,322,123,33
SP13,G3,P08,13-09-2021 00:00,8897,172,495
SP18,G3,P12,13-09-2021 00:00,10290,79,606
SP18,G3,P18,15-09-2021 00:00,7084,59,284
SP23,G3,P09,16-09-2021 00:00,2842,253,406
SP10,G3,P19,17-09-2021 00:00,5551,102,694
SP03,G3,P04,17-09-2021 00:00,4529,126,302
SP18,G3,P17,17-09-2021 00:00,2275,115,99
SP03,G3,P09,21-09-2021 00:00,2996,18,428
SP22,G3,P22,23-09-2021 00:00,2184,84,95
SP10,G3,P13,23-09-2021 00:00,3073,3,129
SP07,G3,P13,23-09-2021 00:00,2051,16,90
SP01,G3,P11,24-09-2021 00:00,7532,131,314
SP10,G3,P12,24-09-2021 00:00,504,170,51
SP12,G3,P11,24-09-2021 00:00,476,24,16
SP18,G3,P04,24-09-2021 00:00,721,182,41
SP16,G3,P06,28-09-2021 00:00,4998,67,385
SP14,G3,P19,29-09-2021 00:00,665,112,52
SP18,G3,P02,29-09-2021 00:00,7812,40,601
SP13,G3,P17,29-09-2021 00:00,4487,18,187
SP23,G3,P10,01-10-2021 00:00,1113,196,49
SP07,G3,P08,01-10-2021 00:00,9520,87,414
SP21,G3,P17,01-10-2021 00:00,6657,179,278
SP03,G3,P13,01-10-2021 00:00,9548,365,455
SP25,G3,P16,05-10-2021 00:00,5726,438,230
SP04,G3,P13,05-10-2021 00:00,10843,65,493
SP16,G3,P22,08-10-2021 00:00,1358,459,76
SP15,G3,P10,08-10-2021 00:00,13251,290,631
SP24,G3,P03,08-10-2021 00:00,3003,11,131
SP24,G3,P18,08-10-2021 00:00,4368,23,151
SP01,G3,P04,08-10-2021 00:00,9933,69,552
SP05,G3,P11,11-10-2021 00:00,1274,246,51
SP13,G3,P07,11-10-2021 00:00,10738,256,430
SP06,G3,P22,11-10-2021 00:00,812,109,41
SP08,G3,P16,11-10-2021 00:00,3262,350,126
SP14,G3,P10,12-10-2021 00:00,14238,193,594
SP22,G3,P10,12-10-2021 00:00,6650,42,247
SP23,G3,P03,12-10-2021 00:00,2632,241,155
SP15,G3,P06,12-10-2021 00:00,6895,148,406
SP01,G3,P20,13-10-2021 00:00,10136,47,676
SP08,G3,P17,13-10-2021 00:00,1323,288,49
SP08,G3,P22,14-10-2021 00:00,4193,123,210
SP04,G3,P17,19-10-2021 00:00,1743,9,61
SP22,G3,P11,19-10-2021 00:00,15932,292,498
SP09,G3,P17,19-10-2021 00:00,3087,188,119
SP25,G3,P03,19-10-2021 00:00,343,27,17
SP06,G3,P14,20-10-2021 00:00,266,303,19
SP15,G3,P14,20-10-2021 00:00,6153,214,684
SP10,G3,P08,21-10-2021 00:00,2156,72,90
SP19,G3,P09,21-10-2021 00:00,1288,348,108
SP11,G3,P09,21-10-2021 00:00,1309,421,94
SP10,G3,P10,22-10-2021 00:00,6615,473,331
SP10,G3,P04,22-10-2021 00:00,10101,287,481
SP16,G3,P12,22-10-2021 00:00,833,40,65
SP03,G3,P03,25-10-2021 00:00,22715,16,1420
SP07,G3,P05,26-10-2021 00:00,9975,65,768
SP05,G3,P05,26-10-2021 00:00,2485,234,125
SP03,G3,P12,27-10-2021 00:00,7623,96,693
SP14,G3,P04,27-10-2021 00:00,4144,177,189
SP21,G3,P06,27-10-2021 00:00,11795,86,562
SP12,G3,P08,28-10-2021 00:00,1519,231,90
SP13,G3,P19,28-10-2021 00:00,3010,171,232
SP13,G3,P22,28-10-2021 00:00,15190,66,691
SP17,G3,P08,28-10-2021 00:00,6209,79,389
